model,alpha,l1_ratio,nonzero_coefficients,train_r2,test_r2,adjusted_test_r2,rmse,prediction_correlation,cv_r2_mean
OLS,,,34,0.057728972075345886,-0.1679531743912721,-0.3885665517762902,0.05814525520300888,0.0005552305375393028,-0.3196918720719239
Ridge,10000.0,,34,0.011301383136793963,-0.0059049218148616855,-0.1959091848243355,0.05396100528035181,-0.014035296223907522,-0.01301646431461032
ElasticNet,0.1,0.5,0,0.0,-0.006058054527756429,-0.19609124260522148,0.05396511246806382,-2.2494766509659414e-17,-0.01279482275500694
