timestamp,actual_log_return,predicted_log_return,signal,trade_event,strategy_log_return,strategy_equity,strategy_cumulative_pnl,strategy_drawdown,new_position
2025-10-11 00:00:00+00:00,0.002976192673045955,-0.013631411625876062,-1.0,True,-0.002976192673045955,0.9970282317979198,-0.002971768202080227,0.0,Short
2025-10-16 00:00:00+00:00,-0.04407251978770297,0.0037454797115710732,1.0,True,-0.04407251978770297,0.8930035341157264,-0.10699646588427358,-0.10433475639361567,Long
2025-10-25 00:00:00+00:00,-0.0027894020875785254,-0.00977614918232364,-1.0,True,0.0027894020875785254,0.9345458334445961,-0.06545416655540393,-0.06266863501011455,Short
2025-10-28 00:00:00+00:00,-0.019830678180485735,0.004509587284804695,1.0,True,-0.019830678180485735,0.9200506657677499,-0.07994933423225015,-0.07720700735961905,Long
2025-10-29 00:00:00+00:00,0.004282661792000728,-0.005440928123128296,-1.0,True,-0.004282661792000728,0.9161188253157511,-0.08388117468424894,-0.08115056715722735,Short
2025-10-30 00:00:00+00:00,-0.08623467792145746,0.004406888014971038,1.0,True,-0.08623467792145746,0.8404280961586093,-0.15957190384139075,-0.15706690206446494,Long
2025-11-01 00:00:00+00:00,0.02111692344092283,-0.03548881598066318,-1.0,True,-0.02111692344092283,0.8381998358869732,-0.16180016411302678,-0.15930180394644866,Short
2025-11-11 00:00:00+00:00,-0.06314389558298632,0.008295105720736455,1.0,True,-0.06314389558298632,0.8490000749293012,-0.15099992507069881,-0.16248013048405097,Long
2025-11-13 00:00:00+00:00,-0.05387298994015175,-0.011910416753345962,-1.0,True,0.05387298994015175,0.879087176380183,-0.12091282361981703,-0.1327998677545642,Short
2025-11-14 00:00:00+00:00,-0.10086061033497395,0.004418306025146008,1.0,True,-0.10086061033497395,0.7947467092735971,-0.20525329072640286,-0.21599988044231822,Long
2025-11-16 00:00:00+00:00,-0.026397471851024812,-0.005178611901339006,-1.0,True,0.026397471851024812,0.8309932197691902,-0.16900678023080984,-0.18024349638875314,Short
2025-11-20 00:00:00+00:00,-0.06959329179919535,0.004401746041406144,1.0,True,-0.06959329179919535,0.7914123337629533,-0.20858766623704672,-0.21928916842362278,Long
2025-11-27 00:00:00+00:00,0.00425532557013827,-0.017964942262142243,-1.0,True,-0.00425532557013827,0.8324240562863799,-0.16757594371362006,-0.17883200768744156,Short
2025-11-28 00:00:00+00:00,-0.01713103993018367,0.0018141810142376612,1.0,True,-0.01713103993018367,0.8182852188123013,-0.18171478118769868,-0.19277965936154018,Long
2025-11-29 00:00:00+00:00,-0.013043663192029226,-0.013608889165896506,-1.0,True,0.013043663192029226,0.8290285696063358,-0.17097143039366425,-0.18218158049101352,Short
2025-12-01 00:00:00+00:00,-0.11200505837649474,0.000904082820708494,1.0,True,-0.11200505837649474,0.7477291581050962,-0.2522708418949038,-0.26238165882188014,Long
2025-12-03 00:00:00+00:00,0.04910271300773182,-0.02125721713749155,-1.0,True,-0.04910271300773182,0.8033049739768069,-0.1966950260231931,-0.20755734086054956,Short
2025-12-05 00:00:00+00:00,-0.08091844115624859,0.01951442483450698,1.0,True,-0.08091844115624859,0.7470889419726394,-0.2529110580273606,-0.2630132179318859,Long
2025-12-06 00:00:00+00:00,0.02696792642750697,-0.02432896422457519,-1.0,True,-0.02696792642750697,0.7272107439600637,-0.2727892560399363,-0.2826226223328113,Short
2025-12-09 00:00:00+00:00,0.041242958534049,0.014385654847465006,1.0,True,0.041242958534049,0.7195397785500915,-0.28046022144990845,-0.29018986070997665,Long
2025-12-10 00:00:00+00:00,-0.06252035698133393,-0.0064225268838337644,-1.0,True,0.06252035698133393,0.7659616997468716,-0.23403830025312844,-0.24439565817513653,Short
2025-12-12 00:00:00+00:00,-0.06280090123903036,0.00921757352926936,1.0,True,-0.06280090123903036,0.7271568348069546,-0.2728431651930454,-0.2826758025246757,Long
2025-12-14 00:00:00+00:00,-0.049132688577644766,-0.010714869229485712,-1.0,True,0.049132688577644766,0.7743842471395407,-0.22561575286045932,-0.23608700073021516,Short
2025-12-23 00:00:00+00:00,-0.02015181543730793,0.010186339506115466,1.0,True,-0.02015181543730793,0.7892168879887255,-0.21078311201127453,-0.2214549273118228,Long
