model,number_of_trades,cagr,max_drawdown,sharpe_ratio,sortino_ratio,directional_accuracy
OLS,75,-0.3352266509669951,-0.5963657955483718,-0.3960650816332626,-0.5856617702524971,0.4883720930232558
Ridge,85,-0.5861255613775398,-0.6774276575423002,-0.8564166522845776,-1.3234847248943595,0.4418604651162791
ElasticNet,1,-0.5485925701881333,-0.5949044585987264,-0.7719995215811983,-1.3277444667706646,0.4325581395348837
