model,timestamp,actual_log_return,predicted_log_return,signal,trade_event,strategy_log_return,strategy_equity,strategy_cumulative_pnl,strategy_drawdown
OLS,2025-10-11 00:00:00+00:00,0.002976192673045955,-0.013631411625876062,-1.0,True,-0.002976192673045955,0.9970282317979198,-0.002971768202080227,0.0
OLS,2025-10-12 00:00:00+00:00,0.10699365387249171,-0.005710419230344648,-1.0,False,-0.10699365387249171,0.8958611481975968,-0.10413885180240323,-0.10146862483311081
OLS,2025-10-13 00:00:00+00:00,0.046944734265188866,-0.020252081832293913,-1.0,False,-0.046944734265188866,0.8547770700636943,-0.1452229299363057,-0.14267515923566876
OLS,2025-10-14 00:00:00+00:00,-0.04294739383256848,-0.018222886573029996,-1.0,False,0.04294739383256848,0.8922872340425532,-0.10771276595744683,-0.10505319148936176
OLS,2025-10-15 00:00:00+00:00,-0.04487496622879318,-0.010793834422748663,-1.0,False,0.04487496622879318,0.933240611961057,-0.06675938803894299,-0.06397774687065372
OLS,2025-10-16 00:00:00+00:00,-0.04407251978770297,0.0037454797115710732,1.0,True,-0.04407251978770297,0.8930035341157264,-0.10699646588427358,-0.10433475639361567
OLS,2025-10-17 00:00:00+00:00,-0.03400179727748958,0.0025228900331375256,1.0,False,-0.03400179727748958,0.8631502182949972,-0.13684978170500284,-0.1342770537816198
OLS,2025-10-18 00:00:00+00:00,0.014925650216675574,0.04692709230610875,1.0,False,0.014925650216675574,0.8761299208257488,-0.12387007917425119,-0.12125866361292259
OLS,2025-10-19 00:00:00+00:00,0.03493805136128044,0.013928729741295366,1.0,False,0.03493805136128044,0.9072812068995533,-0.09271879310044673,-0.0900145272080487
OLS,2025-10-20 00:00:00+00:00,0.022631800460197343,0.016686917949709525,1.0,False,0.022631800460197343,0.9280487309487562,-0.07195126905124383,-0.06918510293813274
OLS,2025-10-21 00:00:00+00:00,-0.03269658707633818,0.047168501520865054,1.0,False,-0.03269658707633818,0.8981954151280269,-0.10180458487197308,-0.09912740032613698
OLS,2025-10-22 00:00:00+00:00,-0.02932761509451995,0.022052989226173027,1.0,False,-0.02932761509451995,0.8722360100665233,-0.1277639899334767,-0.12516418066353174
OLS,2025-10-23 00:00:00+00:00,0.03365350504164258,0.020397989218040067,1.0,False,0.03365350504164258,0.9020893258872524,-0.09791067411274756,-0.09522188327552772
OLS,2025-10-24 00:00:00+00:00,0.03255772348343202,0.01978099557770411,1.0,False,0.03255772348343202,0.9319426417079817,-0.06805735829201831,-0.06527958588752358
OLS,2025-10-25 00:00:00+00:00,-0.0027894020875785254,-0.00977614918232364,-1.0,True,0.0027894020875785254,0.9345458334445961,-0.06545416655540393,-0.06266863501011455
OLS,2025-10-26 00:00:00+00:00,0.02210034700066592,-0.009115532068815116,-1.0,False,-0.02210034700066592,0.9141186021124739,-0.08588139788752613,-0.08315675227765285
OLS,2025-10-27 00:00:00+00:00,-0.026299093547015595,-0.008312817909530206,-1.0,False,0.026299093547015595,0.9384780038517964,-0.06152199614820364,-0.058724744273831675
OLS,2025-10-28 00:00:00+00:00,-0.019830678180485735,0.004509587284804695,1.0,True,-0.019830678180485735,0.9200506657677499,-0.07994933423225015,-0.07720700735961905
OLS,2025-10-29 00:00:00+00:00,0.004282661792000728,-0.005440928123128296,-1.0,True,-0.004282661792000728,0.9161188253157511,-0.08388117468424894,-0.08115056715722735
OLS,2025-10-30 00:00:00+00:00,-0.08623467792145746,0.004406888014971038,1.0,True,-0.08623467792145746,0.8404280961586093,-0.15957190384139075,-0.15706690206446494
OLS,2025-10-31 00:00:00+00:00,0.018462062839735352,0.009360987336600582,1.0,False,0.018462062839735352,0.8560882470187074,-0.14391175298129255,-0.14136007415262275
OLS,2025-11-01 00:00:00+00:00,0.02111692344092283,-0.03548881598066318,-1.0,True,-0.02111692344092283,0.8381998358869732,-0.16180016411302678,-0.15930180394644866
OLS,2025-11-02 00:00:00+00:00,0.00149142458667012,-0.013061319009904976,-1.0,False,-0.00149142458667012,0.836950655803684,-0.163049344196316,-0.16055470736828714
OLS,2025-11-03 00:00:00+00:00,-0.15963014559188382,-0.01565631519844866,-1.0,False,0.15963014559188382,0.9818075000773985,-0.018192499922601524,-0.0152660990281831
OLS,2025-11-04 00:00:00+00:00,-0.022989518224698833,-0.02164633788571484,-1.0,False,0.022989518224698833,1.004640232637338,0.004640232637338038,0.0
OLS,2025-11-05 00:00:00+00:00,0.029958187540792165,-0.004211222624559464,-1.0,False,-0.029958187540792165,0.9749893924379721,-0.025010607562027887,-0.02951388888888895
OLS,2025-11-06 00:00:00+00:00,-0.03894297394860741,-0.018025640999097224,-1.0,False,0.03894297394860741,1.0137073827513934,0.013707382751393382,0.0
OLS,2025-11-07 00:00:00+00:00,0.1109405859373122,-0.009903671794991539,-1.0,False,-0.1109405859373122,0.9072599192960775,-0.09274008070392248,-0.10500807754442643
OLS,2025-11-08 00:00:00+00:00,-0.01628700497469905,-0.008118341903665583,-1.0,False,0.01628700497469905,0.9221574549167028,-0.07784254508329724,-0.09031198686371089
OLS,2025-11-09 00:00:00+00:00,-0.0032894766503987574,-0.0009181133908769929,-1.0,False,0.0032894766503987574,0.9251958649823262,-0.0748041350176738,-0.08731466227347595
OLS,2025-11-10 00:00:00+00:00,0.022802290873980335,-0.012873665240824197,-1.0,False,-0.022802290873980335,0.904337987188844,-0.09566201281115605,-0.10789049919484672
OLS,2025-11-11 00:00:00+00:00,-0.06314389558298632,0.008295105720736455,1.0,True,-0.06314389558298632,0.8490000749293012,-0.15099992507069881,-0.16248013048405097
OLS,2025-11-12 00:00:00+00:00,-0.019048194970694474,0.0099344991516995,1.0,False,-0.019048194970694474,0.8329812055910125,-0.16701879440898748,-0.1782823921730311
OLS,2025-11-13 00:00:00+00:00,-0.05387298994015175,-0.011910416753345962,-1.0,True,0.05387298994015175,0.879087176380183,-0.12091282361981703,-0.1327998677545642
OLS,2025-11-14 00:00:00+00:00,-0.10086061033497395,0.004418306025146008,1.0,True,-0.10086061033497395,0.7947467092735971,-0.20525329072640286,-0.21599988044231822
OLS,2025-11-15 00:00:00+00:00,0.01820070464684637,0.018254484158502244,1.0,False,0.01820070464684637,0.8093440978112755,-0.19065590218872452,-0.20159987824636072
OLS,2025-11-16 00:00:00+00:00,-0.026397471851024812,-0.005178611901339006,-1.0,True,0.026397471851024812,0.8309932197691902,-0.16900678023080984,-0.18024349638875314
OLS,2025-11-17 00:00:00+00:00,-0.031350529884076044,-0.0001314531511637867,-1.0,False,0.031350529884076044,0.8574579719911389,-0.14254202800886107,-0.15413660136928664
OLS,2025-11-18 00:00:00+00:00,0.03545731183672942,-0.013647871944714379,-1.0,False,-0.03545731183672942,0.8275875098521033,-0.17241249014789672,-0.1836031541904387
OLS,2025-11-19 00:00:00+00:00,-0.024897551621727087,-0.025532356847069795,-1.0,False,0.024897551621727087,0.8484510605206437,-0.15154893947935633,-0.16302172110280266
OLS,2025-11-20 00:00:00+00:00,-0.06959329179919535,0.004401746041406144,1.0,True,-0.06959329179919535,0.7914123337629533,-0.20858766623704672,-0.21928916842362278
OLS,2025-11-21 00:00:00+00:00,-0.07480121308269828,0.02203328088895164,1.0,False,-0.07480121308269828,0.734373607005263,-0.265626392994737,-0.2755566157444427
OLS,2025-11-22 00:00:00+00:00,0.0024242436115062545,0.02115098383619791,1.0,False,0.0024242436115062545,0.7361560672164407,-0.26384393278355933,-0.27379825801566715
OLS,2025-11-23 00:00:00+00:00,0.009638628837768573,0.01849157313297346,1.0,False,0.009638628837768573,0.7432859080611519,-0.2567140919388481,-0.2667648271005647
OLS,2025-11-24 00:00:00+00:00,0.09159716909540332,0.0007792336467013688,1.0,False,0.09159716909540332,0.8145843165082648,-0.1854156834917352,-0.1964305179495398
OLS,2025-11-25 00:00:00+00:00,0.0,0.004510332270828289,1.0,False,0.0,0.8145843165082648,-0.1854156834917352,-0.1964305179495398
OLS,2025-11-26 00:00:00+00:00,0.025919377552074494,0.003292589646362704,1.0,False,0.025919377552074494,0.8359738390423985,-0.16402616095760147,-0.17533022520423247
OLS,2025-11-27 00:00:00+00:00,0.00425532557013827,-0.017964942262142243,-1.0,True,-0.00425532557013827,0.8324240562863799,-0.16757594371362006,-0.17883200768744156
OLS,2025-11-28 00:00:00+00:00,-0.01713103993018367,0.0018141810142376612,1.0,True,-0.01713103993018367,0.8182852188123013,-0.18171478118769868,-0.19277965936154018
OLS,2025-11-29 00:00:00+00:00,-0.013043663192029226,-0.013608889165896506,-1.0,True,0.013043663192029226,0.8290285696063358,-0.17097143039366425,-0.18218158049101352
OLS,2025-11-30 00:00:00+00:00,-0.00879126541117077,-0.0007770835569017604,-1.0,False,0.00879126541117077,0.8363489101768112,-0.16365108982318877,-0.17496022579336235
OLS,2025-12-01 00:00:00+00:00,-0.11200505837649474,0.000904082820708494,1.0,True,-0.11200505837649474,0.7477291581050962,-0.2522708418949038,-0.26238165882188014
OLS,2025-12-02 00:00:00+00:00,0.1207963237876656,0.003358059417815467,1.0,False,0.1207963237876656,0.8437338895161209,-0.15626611048387906,-0.16767510637431904
OLS,2025-12-03 00:00:00+00:00,0.04910271300773182,-0.02125721713749155,-1.0,True,-0.04910271300773182,0.8033049739768069,-0.1966950260231931,-0.20755734086054956
OLS,2025-12-04 00:00:00+00:00,-0.00836824967051658,-0.008159720152634786,-1.0,False,0.00836824967051658,0.8100554359429986,-0.18994456405700144,-0.20089815885097428
OLS,2025-12-05 00:00:00+00:00,-0.08091844115624859,0.01951442483450698,1.0,True,-0.08091844115624859,0.7470889419726394,-0.2529110580273606,-0.2630132179318859
OLS,2025-12-06 00:00:00+00:00,0.02696792642750697,-0.02432896422457519,-1.0,True,-0.02696792642750697,0.7272107439600637,-0.2727892560399363,-0.2826226223328113
OLS,2025-12-07 00:00:00+00:00,-0.017897569457542676,-0.003357598738849252,-1.0,False,0.017897569457542676,0.7403432178916224,-0.2596567821083776,-0.2696677261221172
OLS,2025-12-08 00:00:00+00:00,0.0697450339895056,-0.012060257851241821,-1.0,False,-0.0697450339895056,0.6904674642652394,-0.3095325357347606,-0.31886905825704825
OLS,2025-12-09 00:00:00+00:00,0.041242958534049,0.014385654847465006,1.0,True,0.041242958534049,0.7195397785500915,-0.28046022144990845,-0.29018986070997665
OLS,2025-12-10 00:00:00+00:00,-0.06252035698133393,-0.0064225268838337644,-1.0,True,0.06252035698133393,0.7659616997468716,-0.23403830025312844,-0.24439565817513653
OLS,2025-12-11 00:00:00+00:00,-0.01081091610421573,-0.0002807732751537508,-1.0,False,0.01081091610421573,0.7742873703962941,-0.22571262960370586,-0.23618256750312705
OLS,2025-12-12 00:00:00+00:00,-0.06280090123903036,0.00921757352926936,1.0,True,-0.06280090123903036,0.7271568348069546,-0.2728431651930454,-0.2826758025246757
