,PEPE,BTC_lag1,ETH_lag1,SOL_lag1,DOGE_lag1,SHIB_lag1,PEPE_lag1,PEPE_lag2,PEPE_lag3,PEPE_lag5,PEPE_momentum_7d_lag1,PEPE_momentum_14d_lag1,PEPE_volatility_7d_lag1,PEPE_volatility_14d_lag1,PEPE_volume_from_change_lag1,PEPE_range_lag1,BTC_volatility_14d_lag1,BTC_range_lag1,BTC_funding_rate_sum_lag1,BTC_DVOL_change_lag1,M2_30d_change_lag1,SOFR_change_lag1,DFF_change_lag1,US_10Y_change_lag1,VIX_change_lag1,High_yield_spread_change_lag1,Dollar_index_change_lag1,QQQ_lag1,SPY_lag1,GLD_lag1,SLV_lag1,PEPE_SMA12,PEPE_SMA26,PEPE_RSI_14d_lag1,PEPE_BB_percent_b_20d_lag1
PEPE,1.0,-0.027839608188479418,-0.024387820839577357,-0.030768742025762557,0.0004884948311016483,0.008635291796643598,0.0397519563315568,0.05780554628153183,0.04146539449126895,0.0646903305096468,0.09729911733077101,0.06413972254641764,0.04697565084482287,0.06829647138995021,0.009779807555611305,0.0958919506346006,0.033494060082701026,0.03424815854200209,0.09805909612718781,0.04683631949366496,0.02123280877140283,0.02103822715792857,-0.008055615983039563,0.03134175628792872,0.007161002936675869,0.012209135698474457,0.05160571977676235,-0.03448689486793855,-0.039394341267961236,-0.008808780763626721,-0.04359119457411152,0.0708200002255762,0.05372913733325614,0.04185332074294516,0.07503008536152402
BTC_lag1,-0.027839608188479418,1.0,0.8124387686761724,0.7370282836935522,0.7592015400373111,0.6695754527971765,0.6746466056259932,0.0018073293251368392,-0.013076683390521312,0.031239614279435602,0.252305526840154,0.16665487189021405,0.03731466819611192,0.023110763980222323,0.039081037099464644,-0.04778172766993241,0.01982687395796564,-0.015304014561992036,0.009266342109013318,-0.16207119905872744,0.012334776396895295,-0.04084735403551886,-0.00679340717737054,0.02726110487600025,-0.32497074463418935,-0.21823675490408972,-0.08138233978485918,0.3203611060972403,0.3236345091165411,0.08119960614187521,0.14027354660899577,0.19337112321095773,0.1312398964421096,0.17590724232709443,0.3174743566460682
ETH_lag1,-0.024387820839577357,0.8124387686761724,1.0,0.7199344548469806,0.7487147644308053,0.6651773457643618,0.6887496875046865,0.020332674691728485,-0.018687157738748496,0.01895871013701404,0.26065929459411674,0.16975205905207894,0.04197747457320229,0.011628981461411919,0.03419926521848371,-0.0787608261908323,-0.008294542956339187,-0.08222656932989834,0.011157352046580846,-0.2056879195768737,0.018780665614808626,-0.02071904619130253,0.0010717681863601028,0.01359876521344758,-0.3580599742198194,-0.25236377730552806,-0.09486399546087873,0.3656931974538882,0.3678765852432992,0.07276512764689673,0.14362094250829338,0.19901939112630607,0.1362108947911177,0.19763232218157156,0.352085710700565
SOL_lag1,-0.030768742025762557,0.7370282836935522,0.7199344548469806,1.0,0.6773730154953569,0.6126993448349218,0.6184305698876202,-0.02064787570161887,-0.011325187103547749,0.05078800926473815,0.23876973321895997,0.18717161574904528,0.029339271162504944,0.03946963267592461,-0.007238594363374985,-0.10226300483474009,0.004728937505715893,-0.03633657513496175,0.03081195245507484,-0.13102900399015627,-0.0023367555269351342,-0.04174697414354579,-0.00959775260608959,0.016567245276239543,-0.28259449984854845,-0.20051480778962621,-0.08300304297371495,0.2905696530282028,0.2911536084990704,0.03955357366561176,0.10920130569604489,0.20345614472414517,0.17516560521928545,0.19657915043920954,0.3239769634990724
DOGE_lag1,0.0004884948311016483,0.7592015400373111,0.7487147644308053,0.6773730154953569,1.0,0.8135467455857279,0.7332685614508658,0.05160987607454126,-0.020043676988719093,0.011721017247833889,0.3000994338382639,0.19434677680190807,0.04205783201113482,0.03305985251789201,0.0045718859341632185,-0.07434252098865154,0.038715133396684705,-0.06778614824966836,0.055498532976940344,-0.12356677554669877,0.04724961158313045,-0.041559691835105765,0.029570186885701514,0.022525316346335412,-0.2725367091801273,-0.1897978872071014,-0.06176867258479241,0.2680818133077941,0.27126389197815054,0.0537877554998258,0.10437176597662022,0.2200427091534992,0.1638387808213652,0.20979363952864555,0.3512467100443974
SHIB_lag1,0.008635291796643598,0.6695754527971765,0.6651773457643618,0.6126993448349218,0.8135467455857279,1.0,0.7067409115099715,0.045089607789281984,-0.005539716065252746,0.033499704257988656,0.3330985223478083,0.20308786362144235,0.09455689160528702,0.07059914958667567,0.01584872831200952,-0.02292777913348757,0.030598383857705032,-0.05353129707079771,0.10090189396910065,-0.13710336384198507,0.024034134191389202,-0.0392197913213277,0.020871292934771378,-0.00712431657024273,-0.21743682331700886,-0.15012919604304467,-0.09376689644413691,0.2169873045144833,0.21880391578551395,0.06916809578999294,0.10526778744150411,0.23822537791586412,0.16787540735585765,0.1843083752044623,0.3218965924633674
PEPE_lag1,0.0397519563315568,0.6746466056259932,0.6887496875046865,0.6184305698876202,0.7332685614508658,0.7067409115099715,1.0,0.034656530359124575,0.056572099831885506,0.0011851100248659403,0.4271821012999071,0.2832120824654628,0.13803643226513568,0.11734302295065421,0.15677791905015653,0.11581554219482876,0.04449335175239356,0.0051533213245899545,0.0943943087739182,-0.0736189886910947,0.02469124522268862,-0.026313674398118818,0.019619651814690824,0.029762835235991582,-0.2517110215059842,-0.15644396495998,-0.06954532922875513,0.20943368270948318,0.21282109997186027,0.02440584059559648,0.0669408637830458,0.3224216950863435,0.2098024967908548,0.28344812511508155,0.46673579921856906
PEPE_lag2,0.05780554628153183,0.0018073293251368392,0.020332674691728485,-0.02064787570161887,0.05160987607454126,0.045089607789281984,0.034656530359124575,1.0,0.035823328017376845,0.040130649903118376,0.4180807595332466,0.29671886915731704,0.1568040303106971,0.13888119423176848,-0.027952001157703545,0.13219832967295825,0.045853060873209756,-0.07119335353610004,0.14894107641542095,5.64093775037352e-05,0.0066600309693389155,0.019689145740875946,0.005577726395818772,-0.020604336963477046,-0.026867271578521087,-0.07278213410852435,-0.027646149907657416,0.012720992073344184,0.01258078371381945,-0.003095872591956726,0.006187650880769371,0.3342387833949522,0.20908282797028452,0.2917215150364765,0.40257828081308983
PEPE_lag3,0.04146539449126895,-0.013076683390521312,-0.018687157738748496,-0.011325187103547749,-0.020043676988719093,-0.005539716065252746,0.056572099831885506,0.035823328017376845,1.0,0.05621404998977031,0.4158375213522566,0.31900099111081615,0.1782166649030423,0.15911390611118992,0.033413963880123,0.1693712126680885,0.048941730420131634,0.019651334310391906,0.16308073490927766,0.001469928100620454,0.014792591465430603,0.009095286637446335,-0.031445744324985064,-0.01465078527323224,0.005015890929253653,4.137494299230626e-05,0.024442360107375313,0.00215288687589736,-0.003235572380863123,0.014220521887723377,0.010472955520827493,0.3377168923591859,0.21066073587377188,0.30362462257516915,0.35213659665391894
PEPE_lag5,0.0646903305096468,0.031239614279435602,0.01895871013701404,0.05078800926473815,0.011721017247833889,0.033499704257988656,0.0011851100248659403,0.040130649903118376,0.05621404998977031,1.0,0.41525602901502995,0.3187742544113702,0.20433081138055456,0.16463750125112256,-0.051869785448914345,0.13193889258580624,0.04691790259456937,-0.00447992039958277,0.1929526569336612,0.005246360636260922,0.003716156404692835,0.014913417598364391,0.02156163803517049,0.012989637008951073,0.048934225455213774,0.0002491729913684331,0.0033067334669010994,-0.03549162758414409,-0.03165531534806592,-0.03795856103521149,-0.036967365918739274,0.3463039398323412,0.21888531599214617,0.2764971182380239,0.2650267207878623
PEPE_momentum_7d_lag1,0.09729911733077101,0.252305526840154,0.26065929459411674,0.23876973321895997,0.3000994338382639,0.3330985223478083,0.4271821012999071,0.4180807595332466,0.4158375213522566,0.41525602901502995,1.0,0.7540848811456956,0.4266537212307998,0.3599527576743325,0.014678633530830638,0.2862718133897919,0.09406399607453736,-0.04501304420309818,0.3884243810228603,0.002662100925758018,0.02222546570106874,-0.010135306469189847,-0.002638448502289421,0.016059783242614596,-0.07034077805226836,-0.07985751774125086,-0.006484743527920568,0.07547228260115313,0.07658349904891423,-0.017186987912637057,0.01999136106167711,0.8137841085470354,0.5251360173660486,0.683495066585908,0.7743432040976718
PEPE_momentum_14d_lag1,0.06413972254641764,0.16665487189021405,0.16975205905207894,0.18717161574904528,0.19434677680190807,0.20308786362144235,0.2832120824654628,0.29671886915731704,0.31900099111081615,0.3187742544113702,0.7540848811456956,1.0,0.4173792475736571,0.5156217603017725,0.003539704373559891,0.30503489523283245,0.0852606748809318,-0.01025396744587321,0.4859153655156516,0.016359688413725385,0.028084874881173765,-0.026123653252638837,-0.01553699612157929,0.00037108147502929226,-0.022792138955268406,-0.06550901238227444,-0.0010554367581237939,0.044002611875405134,0.05159509232100981,-0.00015556940146989348,0.03773018387324583,0.9466692508509997,0.7489460387264575,0.8636709580788267,0.7467741790987528
PEPE_volatility_7d_lag1,0.04697565084482287,0.03731466819611192,0.04197747457320229,0.029339271162504944,0.04205783201113482,0.09455689160528702,0.13803643226513568,0.1568040303106971,0.1782166649030423,0.20433081138055456,0.4266537212307998,0.4173792475736571,1.0,0.788857452620759,-0.030673207149235715,0.5743773170877533,0.46554572267710864,0.3000024433128873,0.41570995432306534,0.02144851904915817,0.017501500735254253,-0.0016128267909259167,0.009566720772216366,0.013010614256041582,-0.01797371996262135,-0.032675501459696096,-0.025453109435637642,0.00777648643551415,0.011745099682919894,0.0212618215669917,0.0010869176477114452,0.420628077053313,0.3980244962352853,0.26246148584828705,0.21626090873384418
PEPE_volatility_14d_lag1,0.06829647138995021,0.023110763980222323,0.011628981461411919,0.03946963267592461,0.03305985251789201,0.07059914958667567,0.11734302295065421,0.13888119423176848,0.15911390611118992,0.16463750125112256,0.3599527576743325,0.5156217603017725,0.788857452620759,1.0,-0.02599142401443539,0.5258578168616657,0.5555832024568182,0.2684876408196372,0.4883083844102738,0.021310107216058295,0.037257958791270515,0.007855605194723695,0.021805885305155346,-0.018688985088117876,-0.026094795734113933,-0.02994200960305214,-0.02554561213965286,-0.014425432186090036,0.0035453249740911357,0.0261186559896204,0.005352683847215256,0.47926934613426114,0.5133829103086708,0.3217586364578045,0.2221054835555407
PEPE_volume_from_change_lag1,0.009779807555611305,0.039081037099464644,0.03419926521848371,-0.007238594363374985,0.0045718859341632185,0.01584872831200952,0.15677791905015653,-0.027952001157703545,0.033413963880123,-0.051869785448914345,0.014678633530830638,0.003539704373559891,-0.030673207149235715,-0.02599142401443539,1.0,0.31711260448771905,-0.02689555981053784,0.27403549762550955,0.03045810680864191,0.12163239092163997,-0.004891482825387596,-0.031600629786973485,-0.048720292653206314,0.0013599381778319837,0.06235027612214125,0.03676740636356126,0.04977722777957277,-0.007267505018900453,-0.00541605480870502,-0.024886722723166575,-0.01825975866708475,0.006843640393504539,-0.004205605395981903,0.018035754286433663,0.055327231668431176
PEPE_range_lag1,0.0958919506346006,-0.04778172766993241,-0.0787608261908323,-0.10226300483474009,-0.07434252098865154,-0.02292777913348757,0.11581554219482876,0.13219832967295825,0.1693712126680885,0.13193889258580624,0.2862718133897919,0.30503489523283245,0.5743773170877533,0.5258578168616657,0.31711260448771905,1.0,0.2645410231250084,0.5895963163144569,0.4108981871738594,0.133013316693353,-0.011833990074684284,-0.018034315553465248,-0.0005815133800150786,-0.010501395193362704,0.08604727833732838,0.07393269116991645,0.06223371967620319,-0.08604366558147145,-0.07801600269401338,-0.022718937803209074,-0.045083653580847004,0.30381723667700045,0.314984228757216,0.20474393830640222,0.17104945429109578
BTC_volatility_14d_lag1,0.033494060082701026,0.01982687395796564,-0.008294542956339187,0.004728937505715893,0.038715133396684705,0.030598383857705032,0.04449335175239356,0.045853060873209756,0.048941730420131634,0.04691790259456937,0.09406399607453736,0.0852606748809318,0.46554572267710864,0.5555832024568182,-0.02689555981053784,0.2645410231250084,1.0,0.41044558460019853,0.12729323807909654,-0.021123314200827213,0.2708750105267746,-0.0007976853485286635,-0.0016395617042990398,-0.028347296887345347,-0.04612330852379338,-0.03623386743063185,-0.05993180851499947,0.003671083506430646,0.013871129937436817,0.04646757927638306,-0.002167073860998089,0.08993512799071804,0.12057322335228778,-0.004922832159102372,-0.014220996559668641
