alpha,cv_r2_mean
0.01,-0.3196653378584568
0.1,-0.31940651336126424
1.0,-0.3153160078491379
10.0,-0.2548323663024092
100.0,-0.1085722566476782
300.0,-0.06052351757653458
1000.0,-0.02979444971843175
3000.0,-0.0170996263591916
10000.0,-0.01301646431461032
