model,alpha,l1_ratio,nonzero_coefficients,number_of_trades,cagr,max_drawdown,sharpe_ratio,sortino_ratio,directional_accuracy,train_r2,test_r2,adjusted_test_r2,rmse,prediction_correlation,cv_r2_mean
OLS,,,34,75,-0.3352266509669951,-0.5963657955483718,-0.3960650816332626,-0.5856617702524971,0.4883720930232558,0.057728972075345886,-0.1679531743912721,-0.3885665517762902,0.05814525520300888,0.0005552305375393028,-0.3196918720719239
Ridge,10000.0,,34,85,-0.5861255613775398,-0.6774276575423002,-0.8564166522845776,-1.3234847248943595,0.4418604651162791,0.011301383136793963,-0.0059049218148616855,-0.1959091848243355,0.05396100528035181,-0.014035296223907522,-0.01301646431461032
ElasticNet,0.1,0.5,0,1,-0.5485925701881333,-0.5949044585987264,-0.7719995215811983,-1.3277444667706646,0.4325581395348837,0.0,-0.006058054527756429,-0.19609124260522148,0.05396511246806382,-2.2494766509659414e-17,-0.01279482275500694
