model,alpha,l1_ratio,nonzero_coefficients,train_r2,test_r2,adjusted_test_r2,rmse,prediction_correlation,cv_r2_mean
OLS,,,34,0.6260104112598192,0.6800649040974331,0.6196327193158372,0.03043214097130953,0.8348492318712779,0.47659718793519434
Ridge,300.0,,34,0.6144133207536299,0.6923879430575663,0.6342834434128843,0.029840303929066996,0.8365137276575308,0.620364538523071
ElasticNet,0.01,0.9,5,0.5761013375377324,0.717980568716341,0.6647102316960942,0.028572028953493932,0.8507635883303624,0.6253273017098683
