model,alpha,validation_month,train_rows,validation_rows,cv_r2
Ridge,1.0,2025-09,817,30,0.802218518259511
Ridge,1.0,2025-10,847,6,0.7570477354042143
Ridge,10.0,2023-08,55,31,-0.20157337415724608
Ridge,10.0,2023-09,86,30,-0.2058597393817645
Ridge,10.0,2023-10,116,31,0.40388204869441147
Ridge,10.0,2023-11,147,30,0.3769322450147311
Ridge,10.0,2023-12,177,31,0.5457988253742132
Ridge,10.0,2024-01,208,31,0.6128067371607506
Ridge,10.0,2024-02,239,29,0.3743321918372986
Ridge,10.0,2024-03,268,31,0.5495101191697638
Ridge,10.0,2024-04,299,30,0.6701786260538386
Ridge,10.0,2024-05,329,31,0.017310599150638373
Ridge,10.0,2024-06,360,30,0.3357252317763395
Ridge,10.0,2024-07,390,31,0.615531900949668
Ridge,10.0,2024-08,421,31,0.819292157392707
Ridge,10.0,2024-09,452,30,0.6833208627266822
Ridge,10.0,2024-10,482,31,0.5844644720020646
Ridge,10.0,2024-11,513,30,0.033707267362425464
Ridge,10.0,2024-12,543,31,0.3869844117152895
Ridge,10.0,2025-01,574,31,0.6834921705262371
Ridge,10.0,2025-02,605,28,0.7307995746820374
Ridge,10.0,2025-03,633,31,0.5658481498917658
Ridge,10.0,2025-04,664,30,0.6687192388297161
Ridge,10.0,2025-05,694,31,0.7953616651046274
Ridge,10.0,2025-06,725,30,0.8436966848270662
Ridge,10.0,2025-07,755,31,0.8132212336373286
Ridge,10.0,2025-08,786,31,0.7222315164501772
Ridge,10.0,2025-09,817,30,0.8067024547534563
Ridge,10.0,2025-10,847,6,0.7600475586585224
Ridge,100.0,2023-08,55,31,0.346711183538986
Ridge,100.0,2023-09,86,30,0.12893365922281574
Ridge,100.0,2023-10,116,31,0.4260076410177376
Ridge,100.0,2023-11,147,30,0.6237491429209949
Ridge,100.0,2023-12,177,31,0.5799686511946083
Ridge,100.0,2024-01,208,31,0.7470608943641106
Ridge,100.0,2024-02,239,29,0.3590716873367714
Ridge,100.0,2024-03,268,31,0.559120747995873
Ridge,100.0,2024-04,299,30,0.7068495580405778
Ridge,100.0,2024-05,329,31,0.10477521524594802
Ridge,100.0,2024-06,360,30,0.3633049729889063
Ridge,100.0,2024-07,390,31,0.6632069381311526
Ridge,100.0,2024-08,421,31,0.8719700615522784
Ridge,100.0,2024-09,452,30,0.7653462044889832
Ridge,100.0,2024-10,482,31,0.6374580226501658
Ridge,100.0,2024-11,513,30,0.11459671123944748
Ridge,100.0,2024-12,543,31,0.4328601889426249
Ridge,100.0,2025-01,574,31,0.6755008960979856
Ridge,100.0,2025-02,605,28,0.743771520929676
Ridge,100.0,2025-03,633,31,0.6003732536929551
Ridge,100.0,2025-04,664,30,0.7433164510934619
