symbol,rows,first_timestamp,last_timestamp
PEPEUSD,1104,2023-05-01T00:00:00+00:00,2026-05-08T00:00:00+00:00
BTCUSD,1104,2023-05-01T00:00:00+00:00,2026-05-08T00:00:00+00:00
ETHUSD,1104,2023-05-01T00:00:00+00:00,2026-05-08T00:00:00+00:00
SOLUSD,1104,2023-05-01T00:00:00+00:00,2026-05-08T00:00:00+00:00
DOGEUSD,1104,2023-05-01T00:00:00+00:00,2026-05-08T00:00:00+00:00
SHIBUSD,1104,2023-05-01T00:00:00+00:00,2026-05-08T00:00:00+00:00
