date,ticker,factor,open,high,low,close,adj_close,volume
2023-05-01,GC=F,gold_futures,1980.0999755859375,2005.0,1976.9000244140625,1983.4000244140625,1983.4000244140625,210
2023-05-02,GC=F,gold_futures,1994.699951171875,2018.0,1994.699951171875,2014.300048828125,2014.300048828125,1896
2023-05-03,GC=F,gold_futures,2017.0999755859375,2035.0999755859375,2015.199951171875,2028.5999755859375,2028.5999755859375,1349
2023-05-04,GC=F,gold_futures,2045.0,2072.0,2040.0,2048.0,2048.0,930
2023-05-05,GC=F,gold_futures,2046.4000244140625,2046.4000244140625,2004.300048828125,2017.4000244140625,2017.4000244140625,59
2023-05-08,GC=F,gold_futures,2022.5,2026.300048828125,2022.5,2026.300048828125,2026.300048828125,3
2023-05-09,GC=F,gold_futures,2026.5999755859375,2037.300048828125,2025.9000244140625,2036.199951171875,2036.199951171875,241
2023-05-10,GC=F,gold_futures,2032.300048828125,2044.300048828125,2029.5,2030.5,2030.5,248
2023-05-11,GC=F,gold_futures,2034.0999755859375,2038.300048828125,2014.0,2014.699951171875,2014.699951171875,90
2023-05-12,GC=F,gold_futures,2014.5,2014.5,2014.5,2014.5,2014.5,115
2023-05-15,GC=F,gold_futures,2013.800048828125,2018.0,2013.800048828125,2018.0,2018.0,3
2023-05-16,GC=F,gold_futures,1988.4000244140625,1988.4000244140625,1988.4000244140625,1988.4000244140625,1988.4000244140625,49
2023-05-17,GC=F,gold_futures,1983.5999755859375,1983.5999755859375,1980.699951171875,1980.699951171875,1980.699951171875,13
2023-05-18,GC=F,gold_futures,1956.5,1956.800048828125,1956.5,1956.5,1956.5,23
2023-05-19,GC=F,gold_futures,1960.0,1978.699951171875,1960.0,1978.699951171875,1978.699951171875,106
2023-05-22,GC=F,gold_futures,1980.5,1980.5,1974.800048828125,1974.800048828125,1974.800048828125,8
2023-05-23,GC=F,gold_futures,1972.4000244140625,1972.4000244140625,1972.4000244140625,1972.4000244140625,1972.4000244140625,1
