date,ticker,factor,open,high,low,close,adj_close,volume
2023-05-01,QQQ,nasdaq_100_etf,322.0899963378906,323.6300048828125,321.0899963378906,322.19000244140625,316.57464599609375,41013400
2023-05-02,QQQ,nasdaq_100_etf,322.1199951171875,322.45001220703125,317.6099853515625,319.3800048828125,313.81365966796875,56519400
2023-05-03,QQQ,nasdaq_100_etf,319.75,322.4700012207031,317.17999267578125,317.2900085449219,311.7599792480469,59882100
2023-05-04,QQQ,nasdaq_100_etf,317.05999755859375,318.2300109863281,315.1199951171875,316.1700134277344,310.6595153808594,50224500
2023-05-05,QQQ,nasdaq_100_etf,318.4700012207031,323.760009765625,316.2099914550781,322.8900146484375,317.2623596191406,51806100
2023-05-08,QQQ,nasdaq_100_etf,322.4200134277344,324.0400085449219,321.32000732421875,323.69000244140625,318.04840087890625,36465800
2023-05-09,QQQ,nasdaq_100_etf,322.0,322.8800048828125,321.32000732421875,321.6400146484375,316.0341491699219,31768800
2023-05-10,QQQ,nasdaq_100_etf,324.1199951171875,326.010009765625,321.6000061035156,325.1400146484375,319.4731750488281,60446600
2023-05-11,QQQ,nasdaq_100_etf,325.70001220703125,326.75,324.1199951171875,326.20001220703125,320.51470947265625,44278500
2023-05-12,QQQ,nasdaq_100_etf,326.739990234375,327.1700134277344,322.94000244140625,325.0299987792969,319.3650817871094,48432800
2023-05-15,QQQ,nasdaq_100_etf,325.510009765625,327.0299987792969,323.9599914550781,326.7900085449219,321.0943603515625,33375600
2023-05-16,QQQ,nasdaq_100_etf,326.05999755859375,328.8999938964844,326.0199890136719,327.1600036621094,321.4579772949219,40019200
2023-05-17,QQQ,nasdaq_100_etf,328.239990234375,331.7099914550781,327.0400085449219,331.1199951171875,325.3489685058594,47486100
2023-05-18,QQQ,nasdaq_100_etf,331.5199890136719,337.489990234375,331.5,337.2699890136719,331.3917541503906,64213500
2023-05-19,QQQ,nasdaq_100_etf,337.489990234375,338.2099914550781,335.42999267578125,336.510009765625,330.64495849609375,61554900
2023-05-22,QQQ,nasdaq_100_etf,336.25,338.6700134277344,336.239990234375,337.6400146484375,331.75537109375,43015900
2023-05-23,QQQ,nasdaq_100_etf,335.8900146484375,337.05999755859375,333.0,333.3599853515625,327.54986572265625,48216700
2023-05-24,QQQ,nasdaq_100_etf,331.3699951171875,332.9100036621094,329.55999755859375,331.6499938964844,325.86968994140625,62891200
2023-05-25,QQQ,nasdaq_100_etf,339.1400146484375,341.010009765625,336.6700134277344,339.7200012207031,333.799072265625,66862800
2023-05-26,QQQ,nasdaq_100_etf,340.760009765625,349.25,340.6600036621094,348.3999938964844,342.32781982421875,63007000
2023-05-30,QQQ,nasdaq_100_etf,352.7099914550781,353.92999267578125,348.5299987792969,349.9800109863281,343.8802490234375,72652200
2023-05-31,QQQ,nasdaq_100_etf,348.3699951171875,350.6000061035156,346.510009765625,347.989990234375,341.9248962402344,65105400
2023-06-01,QQQ,nasdaq_100_etf,347.7300109863281,353.3599853515625,346.6600036621094,352.010009765625,345.8748474121094,50488600
2023-06-02,QQQ,nasdaq_100_etf,353.79998779296875,355.8299865722656,352.010009765625,354.6499938964844,348.4688415527344,53372100
2023-06-05,QQQ,nasdaq_100_etf,354.42999267578125,357.5,353.8500061035156,354.8999938964844,348.7145080566406,47266200
