,coefficient
const,-0.0003637059526291521
BTC,0.43091886544214864
ETH,0.4684054051332751
SOL,0.13688905959439346
DOGE,0.2741165187398559
SHIB,0.35571012797256524
PEPE_lag1,0.01485262307063133
PEPE_lag2,0.0443163502914609
PEPE_lag3,0.012702887520045152
PEPE_lag5,0.05533662131228518
