timestamp,PEPE,BTC,ETH,SOL,DOGE,SHIB,PEPE_lag1,PEPE_lag2,PEPE_lag3,PEPE_lag5
2023-05-11 00:00:00+00:00,-0.32104776629558135,-0.0230965139643067,-0.02560701544919554,-0.036031161474421695,-0.016408503266629865,-0.03509131981127017,-0.04061471915419001,0.0354467489957475,-0.36335362275803745,-0.349424387466051
2023-05-12 00:00:00+00:00,0.22314355131420976,-0.00645829172740886,0.007302038414395143,0.03555280700464476,0.005822029198228047,0.01826534797729319,-0.32104776629558135,-0.04061471915419001,0.0354467489957475,0.05905774964360115
2023-05-13 00:00:00+00:00,0.06632264293107272,-0.0007366023552270455,-0.00685071075121409,-0.0028749420855990995,-0.009443203071665037,-0.01366763872866387,0.22314355131420976,-0.32104776629558135,-0.04061471915419001,-0.36335362275803745
2023-05-14 00:00:00+00:00,-0.04932506656250156,0.005302016968638717,0.0022813782736472547,0.004309319572742259,0.004038159076504462,0.00799547377619757,0.06632264293107272,0.22314355131420976,-0.32104776629558135,0.0354467489957475
2023-05-15 00:00:00+00:00,-0.02849195579430616,0.0090430011641092,0.009398726600278533,0.0028625973746331593,-0.0006950719679295589,0.0,-0.04932506656250156,0.06632264293107272,0.22314355131420976,-0.04061471915419001
2023-05-16 00:00:00+00:00,-0.03529778208102371,-0.004734677357132959,0.0044006103303645,-0.015362760138864626,0.011613568937199139,-0.002277905312993954,-0.02849195579430616,-0.04932506656250156,0.06632264293107272,-0.32104776629558135
2023-05-17 00:00:00+00:00,-0.06174800706844708,0.013658322391184448,-0.0011463582445248271,0.018692133012152327,0.028189968040665255,0.0,-0.03529778208102371,-0.02849195579430616,-0.04932506656250156,0.22314355131420976
2023-05-18 00:00:00+00:00,0.012658396871923465,-0.021552134669642054,-0.011902930731227146,-0.03478611608541554,-0.018750127780031947,-0.008013780723553767,-0.06174800706844708,-0.03529778208102371,-0.02849195579430616,0.06632264293107272
2023-05-19 00:00:00+00:00,-0.03846628082779605,0.002196585934586688,0.0065100648420629,0.0009828010619080778,0.0008166599065557433,-0.0034542348680875576,0.012658396871923465,-0.06174800706844708,-0.03529778208102371,-0.04932506656250156
2023-05-20 00:00:00+00:00,0.11705655542101759,0.008231203535191795,0.0039099765100741425,-0.003937012959339532,0.0014954798518235107,0.005750447128437718,-0.03846628082779605,0.012658396871923465,-0.06174800706844708,-0.02849195579430616
